Time_s,u,v,w,q_rad_s,p_dot,r_dot,beta_rad,p_rad_s,r_rad_s,rud_deg,ail_deg,aill_deg,ailr_deg,CY,Cl,Cn
0,0.0157240126281977,-1.63624393939972,-43.8181266784668,-0.0052404897287488,0.000515038205776364,0.00140888139139861,-0.0112197548151016,0.00624240236356854,-0.000615958066191524,0.369413495063782,0.0619818270206451,-0.304480254650116,-0.180516600608826,0.0152763621881604,1.80835450009909e-05,0.0001495037577115
0.025,0.0140612246468663,-1.63646733760834,-43.8166656494141,-0.00347575428895652,0.000144119796459563,0.00159153551794589,-0.0264058914035559,0.00458071148023009,-0.00100379483774304,0.219251051545143,0.230645090341568,-0.304255723953247,0.15703447163105,0.0107160033658147,-2.71057638201455e-06,0.000172333442606032
0.05,0.000375759234884754,-1.63613176345825,-43.8183975219727,-0.00403776578605175,-0.029134863987565,-0.00288681522943079,-0.0152751496061683,0.00489339139312506,0.00321300351060927,0.161524221301079,0.183017417788506,-0.213311642408371,0.15272319316864,0.0120806470513344,-0.00143518904224038,-0.000116714756586589
0.075,0.000581234402488917,-1.63598346710205,-43.8179550170898,-0.00561838038265705,-0.0291562788188457,-0.00275188963860273,-0.0209122560918331,0.00154830771498382,-0.000289658113615587,0.0922771915793419,0.101652398705482,-0.0168705116957426,0.186434283852577,0.00400251289829612,-0.00147005799226463,-0.000104668339190539
0.1,0.0154021782800555,-1.63565468788147,-43.8174705505371,-0.00614514900371432,-0.0179348774254322,-0.0022240630351007,-0.0304135140031576,0.00459230644628406,0.00181218225043267,0.167547047138214,0.0266157872974873,-0.05207759141922,0.00115398329216987,0.0120661789551377,-0.000934771960601211,-0.000125744205433875
0.125,0.0408931747078896,-1.63727056980133,-43.8180732727051,-0.00369917205534875,-0.0181276071816683,-0.00269576348364353,-0.0188590660691261,0.00177127087954432,0.000916221761144698,0.280138969421387,0.128878861665726,-0.121315777301788,0.136441960930824,0.000711683067493141,-0.000914937001653016,-0.00017075335199479
0.15,0.0226947627961636,-1.63738179206848,-43.8172073364258,-0.00546708051115274,-0.0180095210671425,-0.0022098331246525,-0.0288836266845465,0.00647785048931837,0.00401222705841064,0.184850111603737,0.0394923537969589,-0.10659958422184,-0.0276148784905672,0.0154163092374802,-0.00092048489023,-0.000121453878819011
0.175,0.00677161198109388,-1.63647127151489,-43.8195381164551,-0.00582477310672402,-0.0184313524514437,-0.0024468011688441,-0.0354437865316868,0.00258536008186638,0.00172153115272522,0.347569286823273,0.237178593873978,-0.32087242603302,0.153484746813774,0.00831740256398916,-0.000947243883274496,-0.000144721416290849
0.2,0.000436600821558386,-1.63788950443268,-43.8177528381348,-0.00498193828389049,-0.0180172231048346,-0.00247952202335,-0.00981506798416376,0.00299737835302949,-0.000917586730793118,0.0483096987009048,0.0587374866008759,-0.0707468688488007,0.0467281006276608,0.00403080368414521,-0.000899476755876094,-0.000146743943332694
0.225,0.0105460351333022,-1.63706135749817,-43.817138671875,-0.00442158337682486,-0.0179694164544344,-0.00243462831713259,-0.0356118828058243,0.00428211828693748,0.00294883269816637,0.0766885802149773,0.151011526584625,-0.22717472910881,0.0748483240604401,0.0128110619261861,-0.000964350183494389,-0.000153059852891602
